scenario,text_length_bucket,samples,num_edits,ref_len,error_rate,empty_output_rate,hallucination_like_rate,repeat_like_rate,too_long_rate,too_short_rate
clean,long,15,4,372,0.010753,0.0,0.0,0.0,0.0,0.0
clean,short,15,0,107,0.0,0.0,0.0,0.0,0.0,0.0
dropout,long,15,289,372,0.776882,0.0,0.466667,0.0,0.0,0.866667
dropout,short,15,77,107,0.719626,0.0,0.333333,0.0,0.0,0.733333
far_field,long,15,364,372,0.978495,0.0,1.0,0.4,0.066667,0.333333
far_field,short,15,110,107,1.028037,0.0,0.6,0.2,0.066667,0.066667
noise,long,15,192,372,0.516129,0.0,0.066667,0.0,0.0,0.0
noise,short,15,19,107,0.17757,0.0,0.066667,0.0,0.0,0.0
reverb,long,15,210,372,0.564516,0.0,0.2,0.066667,0.0,0.0
reverb,short,15,45,107,0.420561,0.0,0.066667,0.0,0.0,0.066667
